ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2125.539879427358,386.3882339100964,-1748.6731129279628
ID204,C,2902.322078409671,407.39376779807196,-2513.3518109796373
ID734,C,2201.8512319874967,404.0986583151315,-1780.464418233356
ID422,B,2795.2582532950305,400.44582669783705,5585.4265834348325
ID559,C,2379.127140796156,408.90703029379097,-1989.6409893171785
ID432,A,2379.832709642416,420.9758364185763,5031.787760814634
ID337,B,2649.933140567884,400.36141184413265,5302.983383824911
ID347,C,2161.123174313577,404.55713503051163,-1766.336463496796
ID774,C,1893.9409662456374,396.58298219191346,-1519.8802554446197
ID142,B,2737.6202285652575,400.09731293222126,5456.129524857035
ID892,B,2357.6366864190927,407.11963644329956,4697.049975687224
ID898,B,3435.0325027794033,418.07443288299464,6882.474657043697
ID345,B,2776.6372003801566,386.7103797059525,5559.52727475097
ID290,A,2600.486580784376,388.6703706648353,5833.066279171215
ID853,B,2906.684261339123,400.93828434792005,5809.043884391583
ID581,C,2525.717006782667,381.1209269622725,-2129.874156557741
ID602,A,2952.9776053020164,423.01413256906335,6746.886215883727
ID179,A,2817.81592939338,409.02153020787244,6414.3995039964575
ID584,A,2865.619875112815,419.7918475308833,6531.716338630588
ID707,A,2464.288714973738,402.3831661560298,5359.540434567508
ID154,A,2749.4313248358576,367.293821260336,6412.325912794163
ID442,A,2659.4025187606203,392.1551864150811,5991.2657051815
ID849,C,2210.006183347246,401.5438371314147,-1794.1977183818187
ID119,A,2123.5535541660342,383.4904730656009,4472.929370077182
ID790,A,2486.2903326458445,390.73137746679487,5498.747566654147
ID619,C,2569.618830327296,400.69355261558167,-2169.0590622814807
ID488,C,2802.9286758026556,411.3646337151763,-2407.0248444096032
ID554,A,1939.6558862239626,378.9764178344558,3955.561794736306
ID259,A,2361.793451452595,383.5156555200667,5123.972761967008
ID873,B,2148.3008586536844,401.05444800648934,4294.212635734481
ID697,B,2575.2772125646356,380.51525720166546,5145.471736791947
ID701,C,2875.2213790646942,384.87875762321653,-2484.8914164413436
ID416,C,2855.2292194031083,375.7750126489383,-2502.638218318936
ID338,B,2571.9311371654735,391.6945997195068,5144.34451065276
ID224,B,3055.120499813277,408.60239630548557,6117.054736420143
ID227,C,2346.072372621585,390.67380632301115,-1973.1260071061592
ID107,B,2167.939088233373,377.86692430835654,4330.322633853728
ID127,A,2518.6114125486606,393.90125426305445,5565.473683937051
ID309,B,2941.662365159673,409.9127846217385,5864.761261667694
ID477,C,3215.4098730786295,418.70343180339984,-2789.8570811692584
ID655,B,2539.4141145753315,381.3865718591317,5087.787302177542
ID257,A,2819.062214521742,412.42488646180726,6363.726423330281
ID261,C,2243.184125474413,429.08665218408663,-1804.1249555809977
ID181,B,2882.506155607817,392.0691398263693,5765.672614046239
ID313,B,2381.41989286922,392.5131608555925,4738.530691077351
ID141,C,2668.026237981929,410.14700576300584,-2235.4295848448014
ID434,B,2529.5604303676355,412.65677535899727,5030.915154339294
ID757,C,2880.917054144369,396.7040234100538,-2485.6829570117484
ID156,A,2183.2385385659345,371.5678186707688,4689.80277688657
ID893,B,2888.5397948630316,407.4069370902819,5736.8897681006665
ID310,A,2785.007422045548,411.775976049107,6281.007454471375
ID272,B,2427.55183504398,377.69555518385397,4856.727997605485
ID117,B,2376.2731345800257,393.61226475366436,4718.832085578665
ID794,B,2306.3646910358148,408.60902366831016,4609.31464411988
ID459,C,2545.374035814109,411.4597897191812,-2131.453772268459
ID408,A,2636.380751086429,410.9244911878222,5844.101927170872
ID489,A,2993.6324948202855,382.96429690431887,7069.431306564386
ID125,B,2681.7450679761,412.9968044872141,5381.667899609541
ID476,C,2311.4428535154557,396.46220147268934,-1951.3693893407547
ID134,B,2620.730579263486,386.055139413349,5242.284899960477
ID403,A,2575.5632742047205,390.383607176378,5773.441802062916
ID212,C,2092.6986344763177,404.7320214914345,-1662.707707289286
ID878,C,2279.4949851262522,400.8699899826331,-1892.207476115612
ID640,B,2228.142573764137,388.2258971760638,4444.498952597201
ID366,C,2874.7832154955163,397.41629348674377,-2445.1193791776122
ID220,B,2821.0319287280217,399.3503213263022,5630.718503736886
ID710,B,2542.653896677553,413.94493063915166,5081.982424324054
ID616,C,2210.425575387578,391.66084060473196,-1802.5059000038261
ID333,A,2402.0817606184055,415.51954483181987,5151.992315689707
ID547,A,1878.6676519632583,388.8376164676738,3691.8312257837924
ID455,B,2562.2998191406573,405.2597415922975,5127.39675002201
ID534,A,2789.5677316433053,391.53069660371625,6427.151040360168
ID180,C,2104.126444570057,378.6511708541302,-1772.7633342830566
ID254,A,2252.9098713043727,418.97529038079875,4629.459172135759
ID556,A,2836.548601982734,397.26241178248745,6531.63517123868
ID496,A,2340.888449381731,398.281165794879,5031.406765586404
ID176,B,1797.1335634577385,372.5746644696801,3634.099841318676
ID359,B,2773.1378680394982,412.59088374935874,5564.685659555374
ID284,B,2559.833505022746,381.9367950806369,5125.011703016146
ID814,C,2597.098940071903,418.8661179515621,-2184.257511391724
ID226,C,3244.7513368649225,398.9970882692506,-2850.424843767435
ID654,A,2555.598666149988,396.6557196036682,5686.697252479667
ID676,C,2240.7277895982206,392.16988994095925,-1869.5674218228244
ID108,A,2387.3242558181955,380.4571004912312,5255.489181283563
ID698,B,2403.9304839433335,424.99333287786084,4804.318142723643
ID274,A,2133.617579899278,389.8751103310371,4454.830383225234
ID285,B,1894.6794378193167,399.6863765804891,3774.5361334935837
ID208,C,2245.039508194239,434.71080936693767,-1814.968475946659
ID809,C,2962.612813156402,431.6730937513091,-2507.093023035032
ID207,C,2810.1802685034986,390.5850112873235,-2426.967981869815
ID388,B,1957.5524343916595,404.8083408905225,3897.300016139433
ID152,B,2453.131883548284,405.23907831790893,4892.306382568621
ID576,B,3078.211951805866,413.35417529441594,6177.10467343415
ID682,A,2035.6577847479944,421.47565619999693,4013.990599769521
ID214,B,2881.3639434003153,390.3463064014442,5768.950347424116
ID262,C,1950.2556490693069,389.36396937570436,-1567.5290423518588
ID308,B,2349.4180886279673,396.71187051144426,4727.904622374515
ID316,B,2558.143125434044,382.37746679713547,5103.105900040641
ID195,C,1656.7065189790073,390.6204477623091,-1254.1948915498103
ID360,B,2356.7798038547267,383.41132325588353,4746.7639295701
ID132,B,2449.2213194158494,435.14469922440156,4878.95949988741
ID209,A,2513.9057662795326,412.6032427437846,5453.4936329664915
ID399,B,2149.0376110035504,410.29596105900544,4269.625959711777
ID424,A,2486.0517429105576,404.8794997676466,5438.980940556034
ID538,B,2218.8907544196018,428.22309138538134,4425.301024620703
ID193,A,2420.9702843886594,415.5843251258517,5193.520846179589
ID649,A,2650.3747345317192,404.293873174147,5906.997746976053
ID627,B,2928.5605586880665,390.49553221697397,5847.871080480303
ID158,A,2697.960289810548,410.4622009440701,6029.964126613685
ID319,A,2524.6612956053696,361.05257645811,5769.1984650526265
ID764,C,1751.7221852112862,417.2037946396368,-1345.1789178210208
ID161,A,2356.3763513516205,406.6213002023528,5042.890201059046
ID203,B,2325.1800892576666,416.3017058468267,4688.509030918962
ID693,B,2308.6987917038537,402.7914828411942,4579.092373900958
ID264,C,3143.1573049259437,413.63085424341506,-2731.1238765228263
ID509,C,2270.314838014426,392.3002757883351,-1875.3557417885436
ID305,C,2137.1219967758607,393.1501456903838,-1741.8716522377695
ID662,A,2733.077351560485,393.43213040518464,6230.498962675552
ID121,C,2530.9269345832477,404.88649298894444,-2122.8626371285254
ID721,B,2403.763560203196,405.8720688674026,4810.2732673331675
ID692,A,2862.870604393134,414.0293444591571,6505.441651780518
ID405,C,2485.6520875844817,398.138852842865,-2091.688954766633
ID380,C,1866.9315621124222,407.2220509082794,-1465.1258378261614
ID371,C,2553.2858236973816,386.99614237923737,-2153.4726023174408
ID168,A,1515.8888821400485,412.63497991003715,2503.095104179793
ID541,C,2433.2974240398044,384.1955403191122,-2072.173035785195
ID641,C,2640.4295216277014,400.41196821948625,-2226.0470848023
ID382,A,2180.2411316553125,388.8328666713525,4602.521509978655
ID683,B,2635.099926778764,388.89727353173294,5265.957671714804
ID883,C,2562.5088895568306,391.8995200271056,-2138.1301273670288
ID733,A,2342.1272095245067,426.5203119585635,4886.206746016888
ID823,A,2088.3288236529233,404.4034807921212,4225.127919868098
ID766,B,2569.798699083636,377.69659045149535,5122.243824477409
ID571,C,2599.786418896984,394.11729857463547,-2196.7313998683403
ID222,C,2406.0651071693055,369.216126798671,-2049.7251023525
ID788,B,2829.627011542563,418.35199870020267,5650.107818636255
ID128,A,2679.769004599504,419.7678067413008,5947.735441609934
ID233,B,2634.8314555062466,392.7249485550453,5263.970046812221
ID590,A,2102.561008918367,399.57723066687277,4266.736945644658
ID402,A,2229.227996953343,397.7215421853921,4662.250699665355
ID163,B,2658.8295168528625,394.64778644503224,5310.111120172268
ID136,A,2091.6603931144223,417.0164671524591,4199.45957641244
ID318,A,2840.1955489471457,396.8401231164367,6509.966058585548
